x,y
0.0,1.0
0.01,0.9999500004166653
0.02,0.9998000066665778
0.03,0.9995500337489875
0.04,0.9992001066609779
0.05,0.9987502603949663
0.06,0.9982005399352042
0.07,0.9975510002532796
0.08,0.9968017063026194
0.09,0.9959527330119943
0.1,0.9950041652780258
0.11,0.9939560979566968
0.12,0.9928086358538663
0.13,0.9915618937147881
0.14,0.9902159962126371
0.15,0.9887710779360422
0.16,0.9872272833756269
0.17,0.9855847669095608
0.18,0.9838436927881214
0.19,0.9820042351172703
0.2,0.9800665778412416
0.21,0.9780309147241483
0.22,0.9758974493306055
0.23,0.9736663950053749
0.24,0.9713379748520296
0.25,0.9689124217106447
0.26,0.9663899781345132
0.27,0.9637708963658905
0.28,0.9610554383107709
0.29,0.9582438755126972
0.3,0.955336489125606
0.31,0.9523335698857134
0.32,0.9492354180824408
0.33,0.946042343528387
0.34,0.9427546655283462
0.35000000000000003,0.9393727128473789
0.36,0.9358968236779348
0.37,0.9323273456060345
0.38,0.9286646355765102
0.39,0.924909059857313
0.4,0.9210609940028851
0.41000000000000003,0.9171208228166051
0.42,0.9130889403123083
0.43,0.9089657496748851
0.44,0.9047516632199634
0.45,0.9004471023526769
0.46,0.8960524975255252
0.47000000000000003,0.891568288195329
0.48,0.8869949227792842
0.49,0.8823328586101215
0.5,0.8775825618903728
0.51,0.8727445076457513
0.52,0.8678191796776499
0.53,0.862807070514761
0.54,0.8577086813638242
0.55,0.8525245220595057
0.56,0.8472551110134161
0.5700000000000001,0.8419009751622687
0.58,0.8364626499151869
0.59,0.8309406791001636
0.6,0.8253356149096783
0.61,0.8196480178454796
0.62,0.8138784566625339
0.63,0.8080275083121519
0.64,0.8020957578842925
0.65,0.7960837985490559
0.66,0.7899922314973651
0.67,0.7838216658808492
0.68,0.7775727187509279
0.6900000000000001,0.7712460149971065
0.7000000000000001,0.7648421872844884
0.71,0.7583618759905082
0.72,0.751805729140895
0.73,0.7451744023448704
0.74,0.7384685587295879
0.75,0.7316888688738209
0.76,0.7248360107409052
0.77,0.7179106696109434
0.78,0.7109135380122773
0.79,0.7038453156522361
0.8,0.6967067093471654
0.81,0.689498432951747
0.8200000000000001,0.6822212072876135
0.8300000000000001,0.674875760071267
0.84,0.6674628258413081
0.85,0.6599831458849822
0.86,0.6524374681640519
0.87,0.6448265472400012
0.88,0.6371511441985802
0.89,0.6294120265736969
0.9,0.6216099682706644
0.91,0.6137457494888116
0.92,0.6058201566434628
0.93,0.5978339822872982
0.9400000000000001,0.5897880250310982
0.9500000000000001,0.5816830894638835
0.96,0.5735199860724567
0.97,0.5652995311603544
0.98,0.5570225467662173
0.99,0.5486898605815875
1.0,0.5403023058681398
1.01,0.5318607213743555
1.02,0.5233659512516495
1.03,0.5148188449699553
1.04,0.5062202572327784
1.05,0.49757104789172696
1.06,0.4888720818605275
1.07,0.4801242290285341
1.08,0.47132836417373997
1.09,0.4624853668753008
1.1,0.4535961214255773
1.11,0.4446615167417068
1.12,0.4356824462767121
1.1300000000000001,0.42665980793015723
1.1400000000000001,0.41759450395835795
1.1500000000000001,0.40848744088415717
1.16,0.3993395294062732
1.17,0.3901516843082303
1.18,0.38092482436688185
1.19,0.371659872260533
1.2,0.3623577544766736
1.21,0.3530194012193304
1.22,0.34364574631604705
1.23,0.3342377271245026
1.24,0.32479628443877623
1.25,0.3153223623952687
1.26,0.30581690837828934
1.27,0.29628087292531874
1.28,0.2867152096319555
1.29,0.2771208750565576
1.3,0.26749882862458735
1.31,0.2578500325326696
1.32,0.2481754516523729
1.33,0.23847605343372313
1.34,0.22875280780845939
1.35,0.2190066870930415
1.36,0.20923866589141926
1.37,0.19944972099757285
1.3800000000000001,0.18964083129783424
1.3900000000000001,0.17981297767299936
1.4000000000000001,0.16996714290024081
1.41,0.16010431155483126
1.42,0.15022546991168584
1.43,0.14033160584673673
1.44,0.13042370873814554
1.45,0.12050276936736662
1.46,0.11056977982006959
1.47,0.10062573338693173
1.48,0.09067162446430968
1.49,0.08070844845480063
1.5,0.0707372016677029
1.51,0.0607588812193859
1.52,0.05077448493357918
1.53,0.040785011241591035
1.54,0.03079145908246612
1.55,0.020794827803092428
1.56,0.010796117058267392
1.57,0.0007963267107332633
1.58,-0.009203543268808336
1.59,-0.01920249290169265
1.6,-0.029199522301288815
1.61,-0.03919363177298771
1.62,-0.049183821914170554
1.6300000000000001,-0.05916909371414836
1.6400000000000001,-0.06914844865406217
1.6500000000000001,-0.07912088880673408
1.6600000000000001,-0.08908541693645919
1.67,-0.09904103659872801
1.68,-0.10898675223987112
1.69,-0.11892156929661223
1.7,-0.12884449429552464
1.71,-0.13875453495237755
1.72,-0.14865070027136365
1.73,-0.15853200064419776
1.74,-0.16839744794907702
1.75,-0.17824605564949209
1.76,-0.1880768388928801
1.77,-0.197888814609109
1.78,-0.2076810016087838
1.79,-0.21745242068136464
1.8,-0.2272020946930871
1.81,-0.23692904868467468
1.82,-0.24663230996883403
1.83,-0.2563109082275227
1.84,-0.2659638756089804
1.85,-0.27559024682451294
1.86,-0.28518905924502086
1.87,-0.294759352997261
1.8800000000000001,-0.3043001710598334
1.8900000000000001,-0.31381055935888247
1.9000000000000001,-0.3232895668635036
1.9100000000000001,-0.33273624568084537
1.92,-0.3421496511508982
1.93,-0.35152884194095985
1.94,-0.36087288013976715
1.95,-0.3701808313512869
1.96,-0.3794517647881545
1.97,-0.388684753364752
1.98,-0.397878873789916
1.99,-0.4070332066592655
2.0,-0.4161468365471424
2.0100000000000002,-0.4252188520981526
2.02,-0.43424834611830043
2.0300000000000002,-0.4432344156657093
2.04,-0.45217616214091194
2.05,-0.46107269137671275
2.06,-0.4699231137276022
2.07,-0.4787265441587198
2.08,-0.4874821023343594
2.09,-0.49618891270599885
2.1,-0.5048461045998576
2.11,-0.5134528123039594
2.12,-0.5220081751547073
2.13,-0.5305113376229448
2.14,-0.5389614493995115
2.15,-0.547357665480271
2.16,-0.5556991462506127
2.17,-0.5639850575694101
2.18,-0.5722145708524369
2.19,-0.5803868631552218
2.2,-0.5885011172553458
2.21,-0.5965565217341599
2.22,-0.6045522710579296
2.23,-0.6124875656583851
2.24,-0.6203616120126798
2.25,-0.6281736227227391
2.2600000000000002,-0.6359228165940027
2.27,-0.6436084187135406
2.2800000000000002,-0.6512296605275458
2.29,-0.6587857799181878
2.3000000000000003,-0.6662760212798244
2.31,-0.6736996355945609
2.32,-0.6810558805071525
2.33,-0.6883440203992384
2.34,-0.695563326462902
2.35,-0.7027130767735539
2.36,-0.7097925563621205
